Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIQ.SE901,1914.06,13.167858,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1914.09,0,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1914.12,0,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1915.03,0,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1915.06,0,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1915.09,14.919183,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1915.12,0,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1916.03,0,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1916.06,0,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1916.09,15.801429,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1916.12,0,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1917.03,0,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1917.06,0,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1917.09,16.775851,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1917.12,0,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1918.03,0,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1918.06,0,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1918.09,18.540343,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1918.12,0,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1919.03,18.724694,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1919.06,0,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1919.09,19.264576,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
CPIQ.SE901,1919.12,0,FINAL,Index,Consumers Price Index - CPI,CPI Level 1 Groups for New Zealand,Food
